rating,avg_score
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,4.79
PG-13 - Teens 13 or older,5.24
PG-13 - Teens 13 or older,6.86
PG-13 - Teens 13 or older,6.88
PG-13 - Teens 13 or older,6.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.41
PG-13 - Teens 13 or older,6.38
PG-13 - Teens 13 or older,6.49
PG-13 - Teens 13 or older,7.62
PG-13 - Teens 13 or older,6.29
PG-13 - Teens 13 or older,8.25
PG-13 - Teens 13 or older,5.66
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,6.32
PG-13 - Teens 13 or older,6.68
PG-13 - Teens 13 or older,6.83
PG-13 - Teens 13 or older,7.43
PG-13 - Teens 13 or older,7.02
PG-13 - Teens 13 or older,5.82
PG-13 - Teens 13 or older,5.64
PG-13 - Teens 13 or older,6.02
PG-13 - Teens 13 or older,7.66
PG-13 - Teens 13 or older,6.1
PG-13 - Teens 13 or older,6.25
PG-13 - Teens 13 or older,7.63
PG-13 - Teens 13 or older,7.23
PG-13 - Teens 13 or older,7.2
PG-13 - Teens 13 or older,6.4
PG-13 - Teens 13 or older,6.82
PG-13 - Teens 13 or older,6.62
PG-13 - Teens 13 or older,8.14
PG-13 - Teens 13 or older,6.31
PG-13 - Teens 13 or older,6.37
PG-13 - Teens 13 or older,6.68
PG-13 - Teens 13 or older,5.44
PG-13 - Teens 13 or older,7.35
PG-13 - Teens 13 or older,7.51
PG-13 - Teens 13 or older,7.54
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.34
PG-13 - Teens 13 or older,6.61
PG-13 - Teens 13 or older,8.13
PG-13 - Teens 13 or older,8.4
PG-13 - Teens 13 or older,8.2
PG-13 - Teens 13 or older,4.79
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.38
PG-13 - Teens 13 or older,7.59
PG-13 - Teens 13 or older,6.72
PG-13 - Teens 13 or older,6.96
PG-13 - Teens 13 or older,8.2
PG-13 - Teens 13 or older,7.16
PG-13 - Teens 13 or older,7.97
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.28
PG-13 - Teens 13 or older,6.8
PG-13 - Teens 13 or older,5.83
PG-13 - Teens 13 or older,5.86
PG-13 - Teens 13 or older,6.41
PG-13 - Teens 13 or older,4.84
PG-13 - Teens 13 or older,5.54
PG-13 - Teens 13 or older,8.06
PG-13 - Teens 13 or older,7.58
PG-13 - Teens 13 or older,7.13
PG-13 - Teens 13 or older,5.53
PG-13 - Teens 13 or older,7.56
PG-13 - Teens 13 or older,6.46
PG-13 - Teens 13 or older,6.66
PG-13 - Teens 13 or older,7.3
PG-13 - Teens 13 or older,7.62
PG-13 - Teens 13 or older,8.27
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.28
PG-13 - Teens 13 or older,5.48
PG-13 - Teens 13 or older,6.01
PG-13 - Teens 13 or older,8.14
PG-13 - Teens 13 or older,6.84
PG-13 - Teens 13 or older,5.38
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,6.02
PG-13 - Teens 13 or older,5.11
PG-13 - Teens 13 or older,6.37
PG-13 - Teens 13 or older,4.73
PG-13 - Teens 13 or older,5.56
PG-13 - Teens 13 or older,7.03
PG-13 - Teens 13 or older,5.7
PG-13 - Teens 13 or older,6.02
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.03
PG-13 - Teens 13 or older,6.66
PG-13 - Teens 13 or older,6.62
PG-13 - Teens 13 or older,7.04
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,7.39
PG-13 - Teens 13 or older,5.78
PG-13 - Teens 13 or older,7.95
PG-13 - Teens 13 or older,7.24
PG-13 - Teens 13 or older,5.37
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,6.39
PG-13 - Teens 13 or older,7.58
PG-13 - Teens 13 or older,5.17
PG-13 - Teens 13 or older,5.49
PG-13 - Teens 13 or older,6.12
PG-13 - Teens 13 or older,6.23
PG-13 - Teens 13 or older,7.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.34
PG-13 - Teens 13 or older,7.19
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.25
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.81
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,6.4
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.25
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.28
PG-13 - Teens 13 or older,6.26
PG-13 - Teens 13 or older,6.77
PG-13 - Teens 13 or older,6.46
PG-13 - Teens 13 or older,7.41
PG-13 - Teens 13 or older,6.25
PG-13 - Teens 13 or older,6.08
PG-13 - Teens 13 or older,6.69
PG-13 - Teens 13 or older,7.56
PG-13 - Teens 13 or older,6.8
PG-13 - Teens 13 or older,7.07
PG-13 - Teens 13 or older,6.67
PG-13 - Teens 13 or older,7.12
PG-13 - Teens 13 or older,7.64
PG-13 - Teens 13 or older,6.86
PG-13 - Teens 13 or older,6.92
PG-13 - Teens 13 or older,6.1
PG-13 - Teens 13 or older,7.6
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.53
PG-13 - Teens 13 or older,5.65
PG-13 - Teens 13 or older,6.25
PG-13 - Teens 13 or older,5.99
PG-13 - Teens 13 or older,5.76
PG-13 - Teens 13 or older,8.09
PG-13 - Teens 13 or older,6.5
PG-13 - Teens 13 or older,5.84
PG-13 - Teens 13 or older,7.05
PG-13 - Teens 13 or older,6.74
PG-13 - Teens 13 or older,6.57
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.45
PG-13 - Teens 13 or older,6.57
PG-13 - Teens 13 or older,7.5
PG-13 - Teens 13 or older,6.45
PG-13 - Teens 13 or older,5.85
PG-13 - Teens 13 or older,7.65
PG-13 - Teens 13 or older,6.62
PG-13 - Teens 13 or older,7.5
PG-13 - Teens 13 or older,6.42
PG-13 - Teens 13 or older,6.67
PG-13 - Teens 13 or older,5.81
PG-13 - Teens 13 or older,6.31
PG-13 - Teens 13 or older,6.25
PG-13 - Teens 13 or older,7.1
PG-13 - Teens 13 or older,5.53
PG-13 - Teens 13 or older,7.9
PG-13 - Teens 13 or older,7.71
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.66
PG-13 - Teens 13 or older,6.39
PG-13 - Teens 13 or older,7.02
PG-13 - Teens 13 or older,5.4
PG-13 - Teens 13 or older,7.51
PG-13 - Teens 13 or older,7.2
PG-13 - Teens 13 or older,6.42
PG-13 - Teens 13 or older,6.53
PG-13 - Teens 13 or older,5.9
PG-13 - Teens 13 or older,8.1
PG-13 - Teens 13 or older,6.87
PG-13 - Teens 13 or older,7.51
PG-13 - Teens 13 or older,7.26
PG-13 - Teens 13 or older,6.33
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,5.28
PG-13 - Teens 13 or older,6.33
PG-13 - Teens 13 or older,6.64
PG-13 - Teens 13 or older,6.12
PG-13 - Teens 13 or older,8.53
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,7.22
PG-13 - Teens 13 or older,6.5
PG-13 - Teens 13 or older,7.33
PG-13 - Teens 13 or older,4.77
PG-13 - Teens 13 or older,5.3
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.78
PG-13 - Teens 13 or older,5.49
PG-13 - Teens 13 or older,6.13
PG-13 - Teens 13 or older,6.86
PG-13 - Teens 13 or older,6.06
PG-13 - Teens 13 or older,7.4
PG-13 - Teens 13 or older,7.17
PG-13 - Teens 13 or older,7.28
